$Culture, $Criticality, $Criticality Modifier, $Initial Known, $Inter-Dependency, $Dynamism, $Size, $Plan, $Team Size, <Cost, ?Score, >Completion, <Idle
0.483752438,1.17095003,10,0.592306038,92,39,2,2,10,1897.591288,0.586057157,0.779069767,0.014705882
0.822256317,0.935824607,7,0.475062629,13,15,0,0,20,371.5121671,0.509961855,0.923076923,0.47826087
0.104613672,1.029398173,6,0.661016476,71,7,1,1,28,688.90505,0.948016972,0.875,0.46969697
0.791680886,1.198273214,8,0.517764605,26,22,2,5,39,1759.837994,0.587108546,0.888059701,0.603333333
0.157496816,1.137968183,5,0.644015268,10,36,1,3,38,788.1519223,0.629405198,0.956521739,0.405405405
0.128866449,0.902117111,6,0.650473786,85,15,2,4,4,546.7956859,0.800729936,0.952702703,0.44047619
0.808940211,0.915726516,6,0.630569034,98,44,2,3,28,638.3944651,0.401828034,0.592592593,0
0.508504127,1.105136131,8,0.548310815,87,50,4,1,35,2248.643212,0.547285174,0.906960227,0.546358792
0.49643237,0.82453914,5,0.470713621,18,26,0,3,26,271.4644766,0.7151591,0.8,0.2
0.608951066,0.911089855,7,0.661728634,18,13,0,2,16,475.8401033,0.474325104,0.5,0
0.516023832,1.143921943,6,0.563502635,9,19,4,1,8,1302.155746,0.566642906,0.923658872,0.491095112
0.448319271,0.956087822,9,0.487287296,87,34,0,1,13,506.9953254,0.369044616,0.666666667,0
0.712060271,0.903020646,7,0.660953347,88,48,1,3,13,489.6042162,0.431045522,0.983333333,0.2625
0.334870863,1.010324031,8,0.647555617,89,29,1,5,42,793.4784265,0.594982483,0.943396226,0.390243902
0.508764341,1.06426128,3,0.516416874,71,38,1,1,8,251.8648926,0.479922241,0.913793103,0.361445783
0.430996322,0.979850511,4,0.455255501,19,27,1,2,2,312.5422259,0.581598461,0.619047619,0.048780488
0.797399358,0.985203385,2,0.546854753,78,25,3,0,39,370.1862235,0.428167885,0.976645435,0.253246753
0.672602504,1.058462123,4,0.636993228,37,30,1,0,15,406.5587137,0.645160434,0.538461538,0
0.2442774,1.137169066,4,0.445546212,9,20,1,0,26,602.3963617,0.805961858,0.966666667,0
0.76078412,0.861983556,7,0.400028563,53,18,1,3,24,635.0994102,0.653207467,0.702702703,0
0.826773187,1.014142752,4,0.623449544,59,5,1,3,26,424.5479688,0.782285986,1,0.171875
0.223914686,1.185517385,8,0.408334314,78,10,2,5,38,1930.223408,0.876898277,0.898305085,0.298013245
0.801386571,1.174652469,10,0.64986985,87,47,2,2,7,1552.017936,0.481863586,0.796875,0.196850394
0.833290036,0.936443528,4,0.48444865,19,47,3,3,3,462.4717833,0.405146425,0.623342175,0.052419355
0.777842556,0.843414187,8,0.574333594,58,34,2,3,5,658.1209903,0.428383611,0.876923077,0.355932203
0.31017709,0.981167241,5,0.453105902,27,2,2,1,23,623.0555589,0.963064589,0.780821918,0
0.8102996,0.867835323,5,0.406156997,97,6,3,2,38,770.8892091,0.746086542,0.934090909,0.194117647
0.220916669,1.147661963,3,0.54641799,4,33,4,3,29,687.2090954,0.747443496,0.734930448,0.00105042
0.111501728,1.179897901,6,0.640062886,35,24,1,2,40,896.6427233,0.869354334,0.777777778,0
0.108588298,0.884862898,9,0.433086577,35,34,3,2,42,1600.090898,0.724470697,0.93129771,0.379661017
0.253544906,1.143901304,5,0.570647918,38,42,3,3,37,1229.900039,0.594729272,0.896713615,0.223577236
0.460263157,1.134545794,2,0.538777759,71,48,3,3,24,423.1086404,0.476769061,0.943734015,0.382943144
0.574006316,0.858954801,8,0.439700079,76,12,4,3,39,1445.71835,0.67913864,0.889387145,0.131386861
0.323413747,0.896304039,10,0.600004291,96,27,4,2,20,1529.77376,0.697187799,0.688181056,0.003640777
0.306229439,1.065781891,6,0.595877013,16,19,3,2,34,1208.116101,0.635694195,0.983228512,0.431515152
0.875375618,1.089424109,6,0.528986327,26,33,0,0,43,510.2469139,0.532283186,0.305555556,0
0.623016764,0.964448766,4,0.415973992,99,29,2,4,12,428.193652,0.466949145,0.931034483,0.224137931
0.106154579,0.931567179,7,0.610650273,71,6,1,4,42,576.7217078,0.910801238,0.914285714,0.319148936
0.206055971,1.11718873,2,0.477919917,40,44,3,2,28,335.3139251,0.663936541,0.786821705,0.053613054
0.538484359,1.028167786,5,0.567024735,46,32,3,4,21,972.145605,0.54904882,0.662857143,0.004291845
0.654631226,0.900140838,3,0.674463328,7,39,3,0,35,480.1136207,0.517583206,0.567901235,0.004329004
0.231056004,1.113021931,8,0.676963345,80,4,2,0,10,1071.77378,0.959018635,0.75308642,0
0.372850174,0.974646812,6,0.676092731,65,44,1,3,31,613.5996836,0.505806518,0.615384615,0
0.111453203,1.024343785,7,0.512435945,43,9,0,0,42,602.7140078,0.866275839,0.842105263,0.111111111
0.350594633,1.179979096,3,0.533178536,44,46,3,2,10,561.5009511,0.54584274,0.608899297,0.026217228
0.213402654,1.155943875,4,0.442829734,77,42,3,4,34,1016.280037,0.570742498,0.937360179,0.311986864
0.269325578,1.144271507,5,0.66661683,55,47,1,2,25,421.1057877,0.558195838,0.4,0
0.78947158,1.089444406,2,0.492470176,72,11,1,4,26,201.7857376,0.716304333,0.836363636,0
0.662835999,0.895845645,5,0.632777169,42,45,0,1,24,220.2049789,0.403346669,0.555555556,0
0.727578943,1.128210805,3,0.417996745,41,39,2,3,8,351.9075608,0.428626568,0.906832298,0.416
0.486595544,0.833927484,8,0.537705073,55,50,3,1,23,1085.880362,0.542011687,0.879795396,0.540106952
0.877910887,0.994000325,7,0.600215678,42,41,2,1,11,788.8340462,0.450324017,0.866666667,0.374331551
0.802769801,1.018466683,7,0.516374501,30,11,4,3,18,1329.938854,0.648803832,0.901540522,0.137732223
0.880994649,1.07889091,7,0.433161585,38,2,3,5,26,1431.648106,0.871623809,0.88453159,0.448369565
0.257834258,0.93711351,3,0.476815366,31,27,1,4,15,260.416802,0.65360078,0.9375,0.230769231
0.82315732,1.092711718,8,0.598844831,32,31,1,5,33,1117.033582,0.470321611,0.925,0.314814815
0.739194466,0.941181429,5,0.688580563,88,48,2,2,7,498.9082788,0.449105536,0.940740741,0.24852071
0.421316987,0.972579731,3,0.622017385,29,8,4,1,21,571.5048541,0.784586487,0.913290689,0.513626041
0.533381436,1.128081681,9,0.414591637,89,46,1,2,25,1023.514511,0.466070064,0.769230769,0.122807018
0.637953954,1.060127773,8,0.688793572,74,20,0,3,43,581.8098149,0.51042349,0.909090909,0.230769231
0.218784543,0.83267966,7,0.564689284,27,26,0,0,38,261.9627556,0.720388258,0.909090909,0.411764706
0.6398993,1.130508836,9,0.416609107,72,34,1,2,14,1129.833998,0.446951925,0.975,0.442857143
0.770258673,1.082937967,10,0.476295937,75,18,0,4,40,1269.694425,0.498677238,0.833333333,0.166666667
0.705522382,0.970792011,5,0.429388632,51,36,3,2,42,923.6170955,0.489673462,0.791574279,0.013812155
0.783348291,0.875163758,7,0.424116171,29,18,0,4,23,251.2041015,0.628536378,0.909090909,0.285714286
0.676836353,1.189515339,9,0.673649016,46,37,2,3,40,1729.754234,0.474515274,0.848920863,0.070866142
0.123008289,0.837730933,7,0.697613599,64,27,1,3,10,432.5650951,0.830038809,0.830508475,0.057692308
0.126112902,0.851671209,6,0.530784024,6,2,3,2,38,929.9282924,0.980159838,0.920529801,0.159274194
0.329496513,1.080928191,5,0.580269736,85,36,2,0,1,637.1419323,0.69861343,0.767857143,0.527472527
0.169384096,0.962055089,4,0.608907334,41,21,4,2,23,771.7307596,0.714192284,0.940256046,0.389376443
0.162397842,1.034828521,2,0.465087215,30,32,1,3,44,294.6087159,0.758453605,0.942857143,0
0.69491128,0.974328205,6,0.552772628,74,48,4,0,40,1283.112305,0.441534919,0.678571429,0.0025
0.148086503,1.000661332,2,0.597359868,48,16,2,5,26,286.8278916,0.831019739,0.918699187,0.379120879
0.638659424,1.061061733,4,0.525249503,1,40,1,1,5,373.242918,0.502422494,0.820512821,0.319148936
0.482653327,1.033243752,4,0.689812387,19,1,0,4,31,251.6038708,0.958667838,0.825,0.083333333
0.438956608,1.130518124,4,0.4453457,57,42,3,4,8,609.2491839,0.519930632,0.846007605,0.108216433
0.473646553,0.857488703,6,0.551708694,54,11,2,1,8,446.5858305,0.678533299,0.944444444,0.529230769
0.827993541,0.825384094,5,0.608192004,17,47,4,2,42,861.5999804,0.415519007,0.815705128,0.034155598
0.10671094,0.977114836,7,0.585601381,54,46,1,4,9,538.4416899,0.710322089,0.725806452,0.150943396
0.807743206,0.96777454,8,0.644242067,21,9,4,2,41,1768.203571,0.663019774,0.928219564,0.21300716
0.121301198,1.052116335,8,0.439525569,46,26,2,1,15,1157.294522,0.85045445,0.887931034,0.440217391
0.76472466,1.005562517,7,0.420078322,82,16,4,1,17,1323.884566,0.610545017,0.927378359,0.547484054
0.617620056,0.821522304,8,0.445646103,18,34,2,2,41,917.3978855,0.455246082,0.985815603,0.387665198
0.432511918,0.94561337,7,0.501054044,43,7,1,3,25,626.8611997,0.797285684,0.884615385,0.394736842
0.621453,1.161166934,8,0.476687632,25,46,3,4,6,1360.065238,0.455977434,0.641089109,0
0.674808399,1.022048802,4,0.48120781,69,17,1,1,33,440.6055456,0.616529182,0.840909091,0.139534884
0.814696372,0.858888076,3,0.684435041,85,10,4,4,22,499.7108807,0.546536127,0.9869326,0.36476317
0.831493637,1.076156851,10,0.658414605,39,47,1,3,28,995.9935378,0.409605152,0.672413793,0
0.311088112,1.036751304,8,0.428724301,38,23,1,1,2,824.5164117,0.73549116,0.838709677,0.543859649
0.773050153,0.968120732,3,0.435465791,32,32,1,1,42,339.5798612,0.502528859,0.842105263,0.392405063
0.619734878,1.194771629,6,0.636962824,48,32,0,4,44,697.3809974,0.571561206,0.9,0.1
